Author,Year,Country,EffiX,VE_any,VE_severe,VE_hosp,Incomplete VE_1 dose_any RVGE,Incomplete VE_1 dose_Severe RVGE,Incomplete VE_1 dose_hospitalization,Incomplete VE_2 dose_hospitalization,Age range,Any<12mo,Severe<12mo,Hosp <12mo,Any12-24mo,Severe12-24mo,Hosp12-24mo,Any>24mo,Severe>24mo,Hosp>24mo,RV incidence rate_any /100 infant,RV incidence rate_severe /100 infant,RV incidence rate_hospitalization /100 infant,Population density,U5 mortality rate,Crude birth rate,GDP per capita,% of population using safely managed drinking water,% of population using safely managed sanitation,Prevalence of undernourishment,Prevalence of HIV,Gini index,Progression to secondary school(female%),% of population living in extreme poverty (<$2/day),Income share held by lowest 20%,Urban population (% of total)
,,Brazil,0,,53.7,40,,,,44,,55.6,,,,,32.1,,,,,,,,,,,,,,,,,,,
Ichihara,2014,Brazil,0,,,76,,,62,,,,,74,,,78,,,,,,,23.416,18.7,15.3,11286.2,NULL,34.8,2.5,"0,5",NULL,NULL,NULL,NULL,84.3
Desai,2010,USA,0,,, ,,,,,8 weeks-3 years,,,,,,,,,,,,,33.2,7.6,14,48382.6,99,89.1,2.5,0.4,40.8,NULL,1,5.2,80.4
,,USA,0,,,83.5,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,USA,0,,,90.7,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payne,2013,USA,0,,, ,,,80,,,,,,,,,,,,,,,33.8,7.3,13,48467.5,99,89.3,2.5,0.4,40.6,NULL,1,5.3,80.7
,,USA,0,,,32,,,57,,,,,56,,,86,,,,,,,,,,,,,,,,,,,
,,USA,0,,,86,,,70,78,,,,85,,,89,,,83,,,,,,,,,,,,,,,,
Muhsen,2010,Israel,0,,,89.4,,,,,,,,,,,,,,, ,,0.57,337.7,4.9,21.5,29567.8,99.9,86.1,2.5,NULL,41.6,100,0.2,4.7,91.7
Martinón-Torres,2011,Spain,0,92.8,,98.3,0.92,,95.6,,<2 years old,,,,,,,,,,,,,92.1,4.2,11.3,35366.3,98.7,95.3,2.5,0.4,34.2,100,0.5,6.6,78
,, ,0,97.2,,97.3,0.96,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,0,84.4,,95,0.85,,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castilla,2012,Spain,0,,78,83,,,,,3-59months, ,78,82,,82,82,,61,89,,,,93,4,10.6,32042.5,98.7,95.5,2.5,0.4,34.9,100,0.8,6.3,78.2
,, ,0,,75, ,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,0,,81,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snelling,2009,Australia,0,,83.2,84.5,,0.72,,,,,,,,,,,,,,,,2.7,5.4,14.1,40960.1,NULL,66.8,2.5,0.1,35.4,NULL,0.4,7.2,84.8
Maguire,2019,Australia,0,73.7, , ,0.68,,,,6 months to 9 years,79.3,,,68.2,,,,,,,,,3.1,4,13.3,62510.1,NULL,73,2.5,0.1,34.4,NULL,0.5,7.4,85.6
Groome,2014,South Africa,0,,,57,,,40,,18 weeks to 23 mo, ,,54,,,61,,,,,,,42.2,44.8,23.1,7328.6,NULL,NULL,3.5,18.5,63,95,17.5,2.5,62.7
Beres,2016,Zambia,0,26,48,56,,,,57,children <5 yr,,,,,,,,,,,,,19.5,75.1,40,1763.1,NULL,NULL,NULL,12.4,55.9,62.2,62.9,3.4,38.4
Bar-Zeev,2015,Malawi,0, ,68,64,,0.69,65,,children <5 yr,,,,,,,,,,,,,168,63.9,37.5,348.4,NULL,NULL,17.3,10.2,45,84.4,71.1,5.7,16
,,,0,,68,63,,0.68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotes-Cantillo,2014,Colombia,0, ,-54,-2.19,,,,,,79.19,62.62,84.42,-40,-64,-79.49,,,,,,,41.528,17.2,16.2,8050.3,72.1,16,9.6,0.4,54.6,Null,6.2,3.5,78.7
